SampleID,AccX_ms2,AccY_ms2,AccZ_ms2,GyroX_dps,GyroY_dps,GyroZ_dps,MagX,MagY,MagZ
0,8.59,0.67,2.27,-17.9,-15.9,12.3,-457,1026,-793
1,9.64,0.69,1.79,-8.1,1.0,-0.6,-470,1006,-803
2,10.12,0.85,1.75,-0.9,23.3,-11.3,-472,1011,-801
3,10.84,1.39,2.70,6.0,37.3,-15.7,-465,1026,-786
4,11.56,1.81,3.59,16.2,39.5,-18.1,-450,1041,-771
5,11.59,1.92,3.49,25.1,40.4,-19.8,-426,1053,-758
6,11.50,1.96,2.94,32.1,46.9,-21.3,-428,1073,-753
7,11.64,2.24,2.80,41.7,53.4,-22.5,-398,1091,-731
8,11.51,2.54,3.15,57.1,52.4,-21.9,-378,1113,-702
9,11.30,2.43,3.07,76.2,46.1,-22.0,-346,1136,-682
10,11.14,2.00,2.35,93.0,37.3,-24.4,-320,1146,-677
11,11.18,1.54,1.77,103.8,32.6,-30.7,-292,1171,-655
12,11.44,1.23,1.72,107.4,29.8,-36.4,-247,1168,-657
13,11.89,1.26,2.23,105.3,28.9,-29.7,-211,1171,-643
14,12.08,1.36,2.53,98.3,24.1,-18.0,-156,1186,-631
15,11.72,1.43,2.53,90.2,20.6,-7.9,-133,1183,-618
16,11.08,1.35,2.69,83.0,21.3,-1.4,-102,1191,-611
17,10.40,0.80,2.46,78.5,28.5,1.0,-82,1191,-598
18,8.89,0.02,1.99,74.8,36.1,2.7,-60,1191,-608
19,8.63,-1.10,0.28,83.1,56.3,10.8,-20,1206,-583
20,8.19,-1.65,0.46,108.4,62.9,20.7,0,1216,-542
21,7.22,-1.78,1.26,135.4,61.3,25.9,22,1226,-542
22,6.65,-1.99,1.79,145.4,62.2,28.8,57,1226,-525
23,6.39,-2.00,2.40,137.2,62.4,32.1,87,1228,-512
24,6.26,-1.87,2.59,116.2,57.8,29.9,105,1208,-502
25,6.29,-1.68,2.87,87.8,44.5,22.5,133,1226,-471
26,6.44,-1.79,3.24,55.5,23.8,18.5,163,1211,-473
27,6.47,-2.11,3.56,20.1,3.6,14.5,171,1233,-473
28,6.97,-2.04,4.14,-12.0,-11.0,6.3,148,1213,-476
29,7.49,-1.88,4.41,-38.5,-14.3,-12.5,161,1236,-471
30,8.41,-1.80,4.23,-58.6,-4.2,-35.7,146,1226,-461
31,9.59,-2.06,3.93,-72.5,19.0,-46.2,138,1236,-466
32,11.28,-2.62,4.46,-72.7,53.8,-32.5,138,1253,-433
33,11.33,-2.83,5.13,-55.5,70.4,-13.6,113,1276,-418
34,10.52,-2.52,5.18,-34.2,61.6,-10.0,102,1297,-390
35,11.02,-1.26,6.19,-23.8,52.0,-7.8,80,1302,-370
36,11.66,0.59,7.19,-41.7,50.4,-9.6,82,1327,-332
37,11.57,0.98,7.28,-70.4,42.3,-24.7,70,1357,-318
38,11.63,1.02,7.24,-91.6,31.2,-42.0,47,1360,-301
39,12.02,1.21,7.36,-112.0,-47.4,-47.4,-12,1382,-278
40,11.58,1.34,6.83,-123.6,-75.5,-32.3,-35,1400,-291
41,11.03,1.58,6.72,-133.0,-93.1,-17.5,-82,1355,-332
42,10.29,1.65,6.34,-134.7,-92.1,-8.2,-126,1367,-370
43,9.62,1.50,5.73,-130.7,-73.8,-7.1,-173,1347,-400
44,8.82,1.07,5.09,-126.0,-47.4,-14.4,-206,1340,-421
45,7.83,0.75,4.70,-122.3,-28.4,-23.8,-257,1335,-458
46,6.81,0.38,4.24,-120.9,-21.2,-25.2,-302,1310,-471
47,5.93,0.21,3.93,-122.4,-21.9,-18.4,-331,1305,-471
48,5.48,0.17,3.67,-123.1,-26.2,-6.3,-378,1302,-487
